gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
Gråbrødregade 15,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,"Gråbrødregade 15, 6000 Kolding, danmark",55.48924400000001,9.4765866
Gråbrødregade 15,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,"Gråbrødregade 15, 6000 Kolding, danmark",55.48924400000001,9.4765866
Haderslevvej 65 01,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Haderslevvej 65 01, 6000 Kolding, danmark",55.4826835,9.4702447
Haderslevvej 65 ST,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,370,False,"Haderslevvej 65 ST, 6000 Kolding, danmark",55.4826835,9.4702447
Helligkorsgade 12,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,370,False,"Helligkorsgade 12, 6000 Kolding, danmark",55.48889149999999,9.4743564
Helligkorsgade 14,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,"Helligkorsgade 14, 6000 Kolding, danmark",55.48889149999999,9.4743564
Helligkorsgade 14,6000,Kolding,1,"190 l. beholder, mad, sætter f","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,190,False,"Helligkorsgade 14, 6000 Kolding, danmark",55.48889149999999,9.4743564
Helligkorsgade 17,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,370,False,"Helligkorsgade 17, 6000 Kolding, danmark",55.4891531,9.47481
Helligkorsgade 20 B,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Helligkorsgade 20 B, 6000 Kolding, danmark",55.4888081,9.4750168
Helligkorsgade 20 B,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Helligkorsgade 20 B, 6000 Kolding, danmark",55.4888081,9.4750168
Helligkorsgade 22 A,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Helligkorsgade 22 A, 6000 Kolding, danmark",55.4890554,9.475088
Helligkorsgade 22 A,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Helligkorsgade 22 A, 6000 Kolding, danmark",55.4890554,9.475088
